id,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,x_coordinate,y_coordinate
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3595,300100,Avachinsky,19090,Confirmed Eruption,2.0,,,,Observations: Reported,,1853,,,12.0,21.0,,,1854.0,,,3.0,14.0,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3596,300100,Avachinsky,19079,Confirmed Eruption,,,,,Correlation: Tephrochronology,?,1200,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3597,300100,Avachinsky,19080,Confirmed Eruption,,,,,Isotopic: 14C (uncalibrated),?,1400,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3598,300100,Avachinsky,19081,Confirmed Eruption,,,,,Isotopic: 14C (uncalibrated),?,1550,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3599,300100,Avachinsky,19082,Confirmed Eruption,3.0,,,,Observations: Reported,,1737,,,8.0,0.0,,,1737.0,,,8.0,0.0,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_359a,300100,Avachinsky,19083,Confirmed Eruption,2.0,,,,Observations: Reported,,1772,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_359b,300100,Avachinsky,19084,Confirmed Eruption,3.0,,,,Observations: Reported,,1779,,,6.0,15.0,,,1779.0,,,6.0,16.0,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_359c,300100,Avachinsky,19073,Confirmed Eruption,5.0,,,Tephra layer IIAV3,Isotopic: 14C (uncalibrated),?,-1350,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_359d,300100,Avachinsky,19074,Confirmed Eruption,,,,,Correlation: Tephrochronology,?,100,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_359e,300100,Avachinsky,19075,Confirmed Eruption,,,,,Correlation: Tephrochronology,?,400,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_359f,300100,Avachinsky,19076,Confirmed Eruption,,,,,Correlation: Tephrochronology,?,700,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a0,300100,Avachinsky,19077,Confirmed Eruption,,,,,Correlation: Tephrochronology,?,900,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a1,300100,Avachinsky,19078,Confirmed Eruption,,,,,Correlation: Tephrochronology,?,1100,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a2,300100,Avachinsky,19067,Confirmed Eruption,4.0,,,Tephra layer IAv24; AV2,Isotopic: 14C (calibrated),,-2530,300.0,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a3,300100,Avachinsky,19068,Confirmed Eruption,,,,Tephra layer IAv25,Correlation: Tephrochronology,?,-2500,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a4,300100,Avachinsky,19069,Confirmed Eruption,,,,Tephra layer IAv26,Correlation: Tephrochronology,?,-2300,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a5,300100,Avachinsky,19070,Confirmed Eruption,,,,Tephra layer IAv27,Correlation: Tephrochronology,?,-2100,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a6,300100,Avachinsky,19071,Confirmed Eruption,,,,,Correlation: Tephrochronology,?,-1700,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a7,300100,Avachinsky,19072,Confirmed Eruption,5.0,,,Tephra layer AV1,Isotopic: 14C (calibrated),?,-1500,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a8,300100,Avachinsky,19061,Confirmed Eruption,,,,Tephra layer IAv18,Correlation: Tephrochronology,?,-3500,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35a9,300100,Avachinsky,19062,Confirmed Eruption,,,,Tephra layer IAv19,Correlation: Tephrochronology,?,-3400,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35aa,300100,Avachinsky,19063,Confirmed Eruption,5.0,,,Tephra layer IAv20; AV3,Isotopic: 14C (calibrated),,-3200,150.0,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35ab,300100,Avachinsky,19064,Confirmed Eruption,,,,Tephra layer IAv21,Correlation: Tephrochronology,?,-2950,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35ac,300100,Avachinsky,19065,Confirmed Eruption,,,,Tephra layer IAv22,Correlation: Tephrochronology,?,-2900,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35ad,300100,Avachinsky,19066,Confirmed Eruption,,,,Tephra layer IAv23,Correlation: Tephrochronology,?,-2650,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35ae,300100,Avachinsky,19055,Confirmed Eruption,5.0,,,Tephra layer IAv12; AV4,Isotopic: 14C (calibrated),,-4340,75.0,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35af,300100,Avachinsky,19056,Confirmed Eruption,,,,Tephra layer IAv13,Correlation: Tephrochronology,?,-4250,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b0,300100,Avachinsky,19057,Confirmed Eruption,,,,Tephra layer IAv14,Correlation: Tephrochronology,?,-4200,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b1,300100,Avachinsky,19058,Confirmed Eruption,,,,Tephra layer IAv15,Correlation: Tephrochronology,?,-4050,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b2,300100,Avachinsky,19059,Confirmed Eruption,4.0,,,Tephra layer IAv16,Isotopic: 14C (calibrated),,-3790,100.0,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b3,300100,Avachinsky,19060,Confirmed Eruption,,,,Tephra layer IAv17,Correlation: Tephrochronology,?,-3700,,,0.0,0.0,,,,,,,,,158.836,53.256
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b4,300121,Veer,19107,Confirmed Eruption,2.0,?,,,Correlation: Tephrochronology,,390,75.0,,0.0,0.0,,,,,,,,,158.4478,53.7525
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b5,320030,Atlin Volcanic Field,20426,Uncertain Eruption,,,,,,,1898,,,11.0,8.0,,,,,,,,,-133.358,59.708
