gid,geom,pop,volcano_id,source,buffer_km
30065240,POINT (125.54583211115002 3.6291669881499966),235,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065239,POINT (125.53749877785003 3.629166988149997),32,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065241,POINT (125.55416544445 3.629166988149997),27,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065242,POINT (125.56249877775004 3.629166988149997),447,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063170,POINT (125.57083211105005 3.6375003214499984),150,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063169,POINT (125.56249877775004 3.6375003214499984),189,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063168,POINT (125.55416544445 3.6375003214499984),333,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063167,POINT (125.54583211115002 3.637500321449999),155,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063166,POINT (125.53749877785003 3.6375003214499984),30,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063165,POINT (125.52916544455 3.6375003214499984),217,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063164,POINT (125.52083211124999 3.6375003214499984),74,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063163,POINT (125.51249877795001 3.637500321449999),534,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063162,POINT (125.50416544465003 3.6375003214499984),107,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063161,POINT (125.49583211135001 3.6375003214499984),266,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063160,POINT (125.48749877805002 3.637500321449999),23,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063159,POINT (125.47916544475005 3.6375003214499984),231,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063158,POINT (125.47083211145004 3.6375003214499984),17,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063157,POINT (125.46249877815002 3.6375003214499984),9,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063156,POINT (125.45416544485002 3.637500321449999),3,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063155,POINT (125.44583211155003 3.6375003214499984),214,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063154,POINT (125.43749877825002 3.6375003214499984),902,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063153,POINT (125.42916544495 3.6375003214499984),667,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30063152,POINT (125.42083211165001 3.637500321449999),736,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065226,POINT (125.42916544495 3.629166988149997),276,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065227,POINT (125.43749877825002 3.629166988149997),801,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065228,POINT (125.44583211155003 3.629166988149997),45,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
